id;start_date;end_date;language
1;2021-01-10T09:32:49;2021-01-10T07:23:04;SPANISH
2;2021-01-09T14:23:00;2021-01-10T09:27:25;SPANISH
3;2021-01-10T05:18:19;2021-01-09T15:52:28;FRENCH
4;2021-01-09T20:35:50;2021-01-10T08:07:16;FRENCH
5;2021-01-10T06:06:08;2021-01-10T10:53:07;FRENCH
6;2021-01-09T23:58:29;2021-01-10T12:06:43;FRENCH
7;2021-01-10T01:43:49;2021-01-09T19:34:40;FRENCH
8;2021-01-10T00:40:02;2021-01-10T10:56:10;SPANISH
9;2021-01-09T23:21:11;2021-01-09T20:02:34;SPANISH
10;2021-01-10T07:33:15;2021-01-09T18:07:45;SPANISH
